case_id,setting,subject,subject_id,target_new,target_true,avg_new_dominance_generation,avg_true_dominance_generation,avg_dominance_diff_generation,relation_id,popularity_score,avg_conflict_pos,avg_true_dominance_generation_bucket_k3,avg_new_dominance_generation_bucket_k3,avg_dominance_diff_generation_bucket_k3,avg_conflict_pos_bucket_k3
21,encyclopaedia,Argentine Football Association,Q496548,NATO,FIFA,0.2981,0.3288,0.0308,P463,203,0.0,2,2,2,1
56,encyclopaedia,Toyota Cresta,Q1815602,BMW,Toyota,0.139,0.6476,0.5085,P176,194,0.003519,3,1,3,1
304,encyclopaedia,Jari Kurri,Q363621,soccer,hockey,0.2684,0.7184,0.45,P641,101,0.044955,3,2,3,2
366,encyclopaedia,New Bedford Whaling Museum,Q7005471,Dublin,Massachusetts,0.2854,0.4458,0.1604,P131,19,0.0,2,2,2,1
378,encyclopaedia,The Paradise Club,Q3895015,NBC,BBC,0.6937,0.0688,-0.625,P449,17,0.002424,1,3,1,1
514,encyclopaedia,Comhar,Q5151720,French,Irish,0.4214,0.3119,-0.1095,P407,3,0.000443,2,2,2,1
551,encyclopaedia,IBM Information Management System,Q1571984,Apple,IBM,0.1286,0.6167,0.4881,P178,33,0.00127,3,1,3,1
727,encyclopaedia,Pianos Become the Teeth,Q4046943,Tokyo,Baltimore,0.4636,0.3864,-0.0773,P740,35,0.0,2,2,2,1
741,encyclopaedia,Rock the Cradle,Q14645720,CBS,MTV,0.625,0.0083,-0.6167,P449,0,0.002006,1,3,1,1
742,encyclopaedia,Trey DePriest,Q7839585,midfielder,linebacker,0.465,0.105,-0.36,P413,12,0.002913,1,2,1,1
746,encyclopaedia,Vitaly Margulis,Q91547338,singing,piano,0.2773,0.4045,0.1273,P1303,0,0.000896,2,2,2,1
747,encyclopaedia,Yona Friedman,Q542741,Edinburgh,Budapest,0.2,0.435,0.235,P19,17,0.000425,2,1,3,1
816,encyclopaedia,Julia Somerville,Q6306749,IBM,BBC,0.61,0.1267,-0.4833,P108,44,0.001872,1,3,1,1
871,encyclopaedia,BBC Radio 4,Q795598,Microsoft,BBC,0.113,0.6837,0.5707,P127,401,0.000891,3,1,3,1
893,encyclopaedia,Chamillionaire,Q299132,London,Houston,0.2219,0.4688,0.2469,P740,503,0.004499,2,1,3,1
